Trade_ID,Entry_Date,Expiration,Exit_Date,DTE,SPX_Entry,SPX_Exit,SPX_Expiration,VIX_Entry,PUT_Short_Final,PUT_Long_Final,PUT_Credit_Final,PUT_Rolls,PUT_Exit,CALL_Short_Final,CALL_Long_Final,CALL_Credit_Final,CALL_Rolls,CALL_Exit,Cumulative_Credit_$,Banked_Roll_PnL_$,Total_PnL_$,PnL_%,Exit_Reason,Result
7,2016-06-27,2016-07-29,2016-07-29,32,2000.58,2173.48,2173.48,23.85,1915,1865,6.59,0,Expiration,2115,2165,4.17,0,CALL:Stop Loss,1075.52,0.00,-363.00,-33.8,Expiration,LOSS
12,2016-08-01,2016-09-02,2016-08-05,32,2170.79,2182.64,2179.95,12.44,2135,2085,4.92,0,,2230,2280,3.05,0,,797.22,0.00,591.87,74.2,50% Profit Target,WIN
13,2016-08-05,2016-09-09,2016-08-11,35,2182.64,2185.78,2128.01,11.39,2155,2105,4.16,0,,2235,2285,2.48,0,,664.46,0.00,347.09,52.2,50% Profit Target,WIN
14,2016-08-11,2016-09-16,2016-08-22,36,2185.78,2182.70,2139.05,11.68,2160,2110,3.94,0,,2235,2285,2.55,0,,648.43,0.00,337.83,52.1,50% Profit Target,WIN
16,2016-08-29,2016-09-30,2016-09-02,32,2180.41,2179.95,2168.09,12.94,2150,2100,3.50,0,,2230,2280,2.44,0,,594.40,0.00,432.21,72.7,50% Profit Target,WIN
15,2016-08-22,2016-09-23,2016-09-13,32,2182.70,2127.04,2164.79,12.27,2145,2095,3.21,1,PUT:Stop Loss,2230,2280,1.94,0,10 DTE Exit,891.42,-256.77,-1807.82,-202.8,10 DTE Exit (Cut Loss),LOSS
17,2016-09-02,2016-10-07,2016-09-22,35,2179.95,2177.03,2153.74,11.98,2160,2110,3.60,0,PUT:Stop Loss,2225,2275,1.97,0,CALL:Stop Loss,556.78,0.00,-2591.92,-465.5,Both legs stopped out,LOSS
18,2016-09-12,2016-10-14,2016-10-03,32,2159.00,2161.03,2133.08,15.16,2100,2050,6.14,0,,2245,2295,3.83,0,,997.14,0.00,543.41,54.5,50% Profit Target,WIN
19,2016-09-19,2016-10-21,2016-10-04,32,2139.14,2150.53,2141.16,15.53,2070,2020,6.27,0,,2235,2285,4.03,0,,1029.90,0.00,521.68,50.7,50% Profit Target,WIN
20,2016-09-26,2016-10-28,2016-10-07,32,2146.31,2153.74,2126.47,14.50,2070,2020,6.56,0,,2250,2300,4.28,0,,1084.27,0.00,811.33,74.8,50% Profit Target,WIN
21,2016-10-03,2016-11-04,2016-10-07,32,2161.03,2153.74,2085.27,13.57,2080,2030,6.79,0,,2270,2320,4.47,0,,1126.41,0.00,678.37,60.2,50% Profit Target,WIN
22,2016-10-07,2016-11-11,2016-10-11,35,2153.74,2136.85,2164.29,13.48,2085,2035,6.03,0,,2250,2300,3.94,0,,996.47,0.00,576.27,57.8,50% Profit Target,WIN
23,2016-10-17,2016-11-18,2016-10-21,32,2126.48,2141.16,2182.00,16.21,2075,2025,5.47,0,,2200,2250,3.71,0,,918.85,0.00,460.70,50.1,50% Profit Target,WIN
24,2016-10-21,2016-11-25,2016-10-26,35,2141.16,2139.44,2213.35,13.34,2095,2045,5.39,0,,2215,2265,3.21,0,,860.51,0.00,430.92,50.1,50% Profit Target,WIN
26,2016-11-07,2016-12-09,2016-11-09,32,2131.47,2163.09,2259.53,18.71,2075,2025,5.67,0,,2210,2260,3.90,0,,957.39,0.00,485.28,50.7,50% Profit Target,WIN
28,2016-11-21,2016-12-23,2016-11-30,32,2198.18,2199.08,2263.69,12.42,2140,2090,5.93,0,,2285,2335,3.53,0,,946.39,0.00,536.83,56.7,50% Profit Target,WIN
25,2016-10-31,2016-12-02,2016-12-02,32,2126.23,2192.02,2192.02,17.06,2055,2005,3.83,3,Expiration,2180,2230,2.67,0,CALL:Stop Loss,1935.66,-727.43,-925.14,-47.8,Expiration,LOSS
29,2016-11-28,2016-12-30,2016-12-05,32,2201.81,2204.71,2239.20,13.15,2145,2095,5.97,0,,2285,2335,3.77,0,,973.59,0.00,502.36,51.6,50% Profit Target,WIN
27,2016-11-14,2016-12-16,2016-12-06,32,2164.30,2212.24,2258.00,14.48,2110,2060,5.85,0,10 DTE Exit,2275,2325,3.33,1,10 DTE Exit,1278.92,-418.53,498.14,39.0,10 DTE Exit (Profitable),WIN
30,2016-12-05,2017-01-06,2016-12-06,32,2204.71,2212.24,2277.16,12.14,2150,2100,5.16,0,,2280,2330,3.69,0,,884.86,0.00,698.07,78.9,50% Profit Target,WIN
31,2016-12-12,2017-01-13,2016-12-27,32,2256.90,2268.87,2274.61,12.64,2220,2170,4.52,0,,2315,2365,3.10,0,,761.57,0.00,506.56,66.5,50% Profit Target,WIN
32,2016-12-19,2017-01-20,2016-12-27,32,2262.58,2268.87,2271.24,11.71,2220,2170,4.55,0,,2325,2375,3.30,0,,784.98,0.00,421.34,53.7,50% Profit Target,WIN
34,2017-01-09,2017-02-10,2017-01-13,32,2269.08,2274.61,2316.16,11.56,2230,2180,4.67,0,,2330,2380,3.15,0,,781.92,0.00,478.24,61.2,50% Profit Target,WIN
33,2016-12-27,2017-01-27,2017-01-17,31,2268.87,2267.83,2294.55,11.99,2210,2160,5.10,1,10 DTE Exit,2330,2380,2.77,0,10 DTE Exit,1221.59,-455.98,326.43,26.7,10 DTE Exit (Profitable),WIN
37,2017-01-30,2017-03-03,2017-02-01,32,2280.68,2279.44,2382.88,11.88,2245,2195,4.31,0,,2340,2390,2.65,0,,695.47,0.00,417.31,60.0,50% Profit Target,WIN
35,2017-01-13,2017-02-17,2017-02-07,35,2274.61,2292.96,2350.96,11.23,2235,2185,4.21,1,10 DTE Exit,2350,2400,2.40,1,10 DTE Exit,1397.98,-471.08,186.65,13.4,10 DTE Exit (Profitable),WIN
36,2017-01-23,2017-02-24,2017-02-14,32,2265.32,2337.46,2367.15,11.77,2235,2185,4.25,0,10 DTE Exit,2320,2370,2.47,0,CALL:Stop Loss,672.04,0.00,-422.07,-62.8,10 DTE Exit (Cut Loss),LOSS
38,2017-02-06,2017-03-10,2017-03-01,32,2292.56,2395.84,2372.81,11.37,2260,2210,3.71,0,10 DTE Exit,2385,2435,2.16,3,CALL:Stop Loss,1361.59,-650.42,-2105.67,-154.6,10 DTE Exit (Cut Loss),LOSS
39,2017-02-13,2017-03-17,2017-03-07,32,2328.22,2368.28,2378.16,11.07,2295,2245,4.07,0,10 DTE Exit,2405,2455,2.38,1,CALL:Stop Loss,895.86,-318.67,-834.57,-93.2,10 DTE Exit (Cut Loss),LOSS
41,2017-03-06,2017-04-07,2017-03-15,32,2375.40,2384.86,2355.60,11.24,2340,2290,4.65,0,,2435,2485,2.95,0,,759.74,0.00,396.23,52.2,50% Profit Target,WIN
40,2017-02-27,2017-03-31,2017-03-21,32,2369.72,2343.98,2362.69,12.09,2345,2295,3.83,0,PUT:Stop Loss,2420,2470,2.09,0,CALL:Stop Loss,591.38,0.00,-1718.40,-290.6,10 DTE Exit (Cut Loss),LOSS
42,2017-03-13,2017-04-14,2017-04-04,32,2373.55,2360.07,2353.85,11.35,2305,2255,4.93,1,10 DTE Exit,2435,2485,2.74,0,10 DTE Exit,1184.76,-725.83,20.59,1.7,10 DTE Exit (Profitable),WIN
45,2017-04-03,2017-05-05,2017-04-05,32,2358.89,2352.85,2399.27,12.38,2320,2270,4.14,0,,2420,2470,2.77,0,,691.17,0.00,347.25,50.2,50% Profit Target,WIN
43,2017-03-20,2017-04-21,2017-04-11,32,2373.46,2353.85,2348.85,11.34,2300,2250,5.20,1,10 DTE Exit,2435,2485,3.21,0,10 DTE Exit,1318.96,-742.65,80.17,6.1,10 DTE Exit (Profitable),WIN
44,2017-03-27,2017-04-28,2017-04-12,32,2341.58,2344.82,2384.13,12.50,2295,2245,4.93,0,,2425,2475,2.82,1,,1122.05,-170.93,576.84,51.4,50% Profit Target,WIN
47,2017-04-17,2017-05-19,2017-04-19,32,2349.01,2338.04,2381.62,14.66,2310,2260,4.60,0,,2410,2460,3.16,0,,775.80,0.00,530.84,68.4,50% Profit Target,WIN
48,2017-04-24,2017-05-26,2017-05-03,32,2374.08,2387.92,2415.61,10.84,2335,2285,5.04,0,,2440,2490,2.98,0,,801.93,0.00,435.04,54.2,50% Profit Target,WIN
49,2017-05-01,2017-06-02,2017-05-11,32,2388.81,2394.57,2438.45,10.11,2350,2300,4.85,0,,2450,2500,3.37,0,,822.12,0.00,489.40,59.5,50% Profit Target,WIN
46,2017-04-10,2017-05-12,2017-05-12,32,2357.14,2390.67,2390.67,14.05,2300,2250,4.45,1,Expiration,2435,2485,2.49,1,Expiration,1419.52,-796.87,-103.04,-7.3,Expiration,LOSS
50,2017-05-08,2017-06-09,2017-05-15,32,2399.04,2402.33,2431.58,9.77,2360,2310,4.75,0,,2460,2510,3.35,0,,809.56,0.00,546.74,67.5,50% Profit Target,WIN
51,2017-05-11,2017-06-16,2017-05-15,36,2394.57,2402.33,2433.11,10.60,2355,2305,4.85,0,,2460,2510,3.27,0,,811.47,0.00,460.39,56.7,50% Profit Target,WIN
52,2017-05-22,2017-06-23,2017-06-13,32,2393.94,2440.33,2438.18,10.93,2345,2295,4.92,0,10 DTE Exit,2490,2540,3.09,1,10 DTE Exit,1148.13,-383.80,353.69,30.8,10 DTE Exit (Profitable),WIN
53,2017-06-05,2017-07-07,2017-06-14,32,2436.18,2437.89,2425.08,10.07,2385,2335,5.07,0,,2510,2560,3.59,0,,866.09,0.00,436.81,50.4,50% Profit Target,WIN
54,2017-06-12,2017-07-14,2017-06-15,32,2429.44,2432.51,2459.23,11.46,2380,2330,5.29,0,,2505,2555,3.39,0,,868.17,0.00,807.05,93.0,50% Profit Target,WIN
55,2017-06-15,2017-07-21,2017-07-21,36,2432.51,2472.41,2472.41,10.90,2380,2330,4.23,2,Expiration,2500,2550,2.65,1,Expiration,1702.13,-1021.68,-333.32,-19.6,Expiration,LOSS
59,2017-07-17,2017-08-18,2017-07-24,32,2459.12,2470.64,2425.52,9.82,2410,2360,5.42,0,,2535,2585,3.44,0,,886.20,0.00,453.31,51.2,50% Profit Target,WIN
60,2017-07-24,2017-08-25,2017-07-27,32,2470.64,2475.45,2443.28,9.43,2425,2375,4.96,0,,2540,2590,3.40,0,,835.45,0.00,575.39,68.9,50% Profit Target,WIN
56,2017-06-26,2017-07-28,2017-07-28,32,2438.99,2472.06,2472.06,9.90,2370,2320,4.08,2,Expiration,2505,2555,2.77,1,Expiration,1716.77,-1112.16,-426.59,-24.8,Expiration,LOSS
61,2017-07-27,2017-09-01,2017-07-31,36,2475.45,2470.45,2476.45,10.11,2440,2390,5.05,0,,2540,2590,3.12,0,,817.50,0.00,426.98,52.2,50% Profit Target,WIN
58,2017-07-10,2017-08-11,2017-08-01,32,2427.53,2476.26,2441.39,11.11,2380,2330,5.02,0,10 DTE Exit,2530,2580,3.24,1,10 DTE Exit,1153.52,-468.09,354.01,30.7,10 DTE Exit (Profitable),WIN
57,2017-07-03,2017-08-04,2017-08-04,32,2429.01,2476.55,2476.55,11.22,2370,2320,5.16,1,Expiration,2520,2570,2.86,1,Expiration,1558.75,-832.47,-30.92,-2.0,Expiration,LOSS
62,2017-08-07,2017-09-08,2017-08-29,32,2480.81,2446.30,2461.62,9.93,2460,2410,2.24,1,PUT:Stop Loss,2520,2570,2.02,0,10 DTE Exit,749.49,2.42,-1632.85,-217.9,10 DTE Exit (Cut Loss),LOSS
65,2017-08-28,2017-09-29,2017-09-08,32,2444.13,2461.62,2519.05,11.32,2385,2335,5.49,0,,2530,2580,3.55,0,,904.11,0.00,556.49,61.6,50% Profit Target,WIN
64,2017-08-21,2017-09-22,2017-09-12,32,2428.30,2496.68,2501.92,13.19,2375,2325,5.13,0,10 DTE Exit,2540,2590,3.69,1,10 DTE Exit,1237.66,-603.91,119.05,9.6,10 DTE Exit (Profitable),WIN
63,2017-08-14,2017-09-15,2017-09-15,32,2465.49,2499.99,2499.99,12.33,2380,2330,5.10,1,Expiration,2530,2580,3.11,0,Expiration,1290.18,-925.60,-103.90,-8.1,Expiration,LOSS
66,2017-09-08,2017-10-13,2017-09-15,35,2461.62,2499.99,2553.43,12.12,2410,2360,5.96,0,,2545,2595,3.61,0,,957.80,0.00,543.85,56.8,50% Profit Target,WIN
67,2017-09-15,2017-10-20,2017-09-20,35,2499.99,2508.15,2575.12,10.17,2460,2410,4.72,0,,2565,2615,3.31,0,,802.97,0.00,481.13,59.9,50% Profit Target,WIN
69,2017-10-02,2017-11-03,2017-10-03,32,2529.19,2534.59,2587.85,9.45,2500,2450,4.46,0,,2585,2635,2.63,0,,709.84,0.00,388.35,54.7,50% Profit Target,WIN
71,2017-10-16,2017-11-17,2017-10-19,32,2557.60,2562.22,2578.82,9.91,2540,2490,2.63,0,,2595,2645,2.15,0,,478.06,0.00,297.61,62.3,50% Profit Target,WIN
72,2017-10-19,2017-11-24,2017-10-25,36,2562.22,2557.16,2602.42,10.05,2550,2500,3.12,0,PUT:Stop Loss,2605,2655,1.46,0,CALL:Stop Loss,457.45,0.00,-1104.42,-241.4,Both legs stopped out,LOSS
68,2017-09-25,2017-10-27,2017-10-27,32,2496.64,2581.06,2581.06,10.21,2465,2415,4.15,0,Expiration,2590,2640,2.18,3,Expiration,1366.34,-676.45,-43.38,-3.2,Expiration,LOSS
73,2017-10-30,2017-12-01,2017-11-02,32,2572.79,2579.83,2642.09,10.50,2545,2495,3.62,0,,2625,2675,2.29,0,,591.12,0.00,326.56,55.2,50% Profit Target,WIN
70,2017-10-09,2017-11-10,2017-11-10,32,2544.65,2582.31,2582.31,10.33,2530,2480,3.12,0,Expiration,2610,2660,1.85,3,Expiration,1012.22,-556.46,-58.82,-5.8,Expiration,LOSS
74,2017-11-02,2017-12-08,2017-11-13,36,2579.83,2584.85,2651.50,9.93,2555,2505,3.75,0,,2630,2680,2.65,0,,639.55,0.00,351.80,55.0,50% Profit Target,WIN
75,2017-11-13,2017-12-15,2017-11-28,32,2584.85,2627.17,2675.49,11.50,2560,2510,3.74,0,PUT:Stop Loss,2635,2685,2.28,0,CALL:Stop Loss,602.33,0.00,-1704.25,-282.9,Both legs stopped out,LOSS
76,2017-11-20,2017-12-22,2017-12-12,32,2582.18,2664.24,2683.55,10.65,2550,2500,4.22,0,10 DTE Exit,2640,2690,2.63,0,CALL:Stop Loss,684.88,0.00,-515.97,-75.3,10 DTE Exit (Cut Loss),LOSS
78,2017-12-04,2018-01-05,2017-12-14,32,2639.17,2652.19,2742.70,11.68,2600,2550,4.82,0,,2705,2755,3.08,0,,790.29,0.00,443.80,56.2,50% Profit Target,WIN
77,2017-11-27,2017-12-29,2017-12-29,32,2601.47,2675.30,2675.30,9.87,2575,2525,4.24,0,Expiration,2655,2705,2.47,0,CALL:Stop Loss,670.73,0.00,-247.51,-36.9,Expiration,LOSS
79,2017-12-11,2018-01-12,2018-01-02,32,2659.96,2695.83,2786.14,9.34,2620,2570,5.05,0,10 DTE Exit,2745,2795,3.15,1,10 DTE Exit,1169.07,-329.45,479.08,41.0,10 DTE Exit (Profitable),WIN
80,2017-12-14,2018-01-19,2018-01-19,36,2652.19,2810.29,2810.29,10.49,2610,2560,4.65,0,Expiration,2720,2770,3.43,0,CALL:Stop Loss,808.44,0.00,-323.90,-40.1,Expiration,LOSS
81,2018-01-02,2018-02-02,2018-02-02,31,2695.83,2761.44,2761.44,9.77,2660,2610,4.43,0,Expiration,2755,2805,3.13,0,CALL:Stop Loss,755.53,0.00,-211.96,-28.1,Expiration,LOSS
82,2018-01-08,2018-02-09,2018-02-02,32,2747.54,2761.44,2619.53,9.52,2710,2660,4.80,0,10 DTE Exit,2810,2860,3.39,0,CALL:Stop Loss,819.19,0.00,-698.23,-85.2,10 DTE Exit (Cut Loss),LOSS
83,2018-01-22,2018-02-23,2018-02-02,32,2832.96,2761.44,2747.49,11.03,2790,2740,4.84,0,PUT:Stop Loss,2905,2955,3.03,0,CALL:Stop Loss,787.13,0.00,-2675.79,-339.9,Both legs stopped out,LOSS
84,2018-01-29,2018-03-02,2018-02-20,32,2853.40,2716.15,2691.14,13.84,2800,2750,5.62,0,PUT:Stop Loss,2935,2985,3.84,0,10 DTE Exit,946.35,0.00,-1807.29,-191.0,10 DTE Exit (Cut Loss),LOSS
85,2018-02-02,2018-03-09,2018-02-27,35,2761.44,2744.24,2786.46,17.31,2675,2625,6.88,0,VIX Exit,2885,2935,4.45,0,10 DTE Exit,1132.89,0.00,-2101.14,-185.5,10 DTE Exit (Cut Loss),LOSS
86,2018-02-20,2018-03-23,2018-03-05,31,2716.15,2721.01,2588.19,20.60,2540,2490,8.63,0,,2955,3005,5.04,0,,1367.55,0.00,697.57,51.0,50% Profit Target,WIN
88,2018-03-05,2018-04-06,2018-03-07,32,2721.01,2726.93,2604.32,18.73,2535,2485,8.68,0,,2970,3020,5.19,0,,1387.32,0.00,710.50,51.2,50% Profit Target,WIN
87,2018-02-26,2018-03-30,2018-03-08,32,2779.55,2738.93,2612.61,15.80,2590,2540,8.70,0,,3035,3085,5.13,0,,1383.31,0.00,758.01,54.8,50% Profit Target,WIN
89,2018-03-08,2018-04-13,2018-03-09,36,2738.93,2786.46,2656.31,16.54,2585,2535,8.29,0,,2950,3000,5.02,0,,1330.88,0.00,812.83,61.1,50% Profit Target,WIN
90,2018-03-19,2018-04-20,2018-04-10,32,2712.95,2656.85,2670.22,19.02,2610,2560,7.26,0,PUT:Stop Loss,2855,2905,4.55,0,10 DTE Exit,1180.73,0.00,-1303.90,-110.4,10 DTE Exit (Cut Loss),LOSS
91,2018-03-26,2018-04-27,2018-04-13,32,2658.63,2656.31,2669.98,21.03,2525,2475,8.05,0,,2840,2890,4.93,0,,1298.20,0.00,682.79,52.6,50% Profit Target,WIN
92,2018-04-02,2018-05-04,2018-04-20,32,2581.72,2670.22,2663.44,23.62,2440,2390,8.20,0,,2775,2825,4.89,0,,1308.64,0.00,679.92,52.0,50% Profit Target,WIN
93,2018-04-09,2018-05-11,2018-04-23,32,2613.32,2670.26,2727.69,21.77,2460,2410,8.02,0,,2815,2865,5.01,0,,1302.71,0.00,819.19,62.9,50% Profit Target,WIN
94,2018-04-13,2018-05-18,2018-04-23,35,2656.31,2670.26,2713.02,17.41,2485,2435,8.28,0,,2885,2935,5.06,0,,1334.95,0.00,772.48,57.9,50% Profit Target,WIN
95,2018-04-20,2018-05-25,2018-04-24,35,2670.22,2634.52,2721.25,16.88,2510,2460,8.21,0,,2885,2935,5.06,0,,1326.82,0.00,713.42,53.8,50% Profit Target,WIN
96,2018-04-30,2018-06-01,2018-05-04,32,2648.19,2663.44,2734.44,15.93,2545,2495,7.53,0,,2790,2840,4.78,0,,1231.09,0.00,833.31,67.7,50% Profit Target,WIN
97,2018-05-04,2018-06-08,2018-05-15,35,2663.44,2711.45,2778.87,14.77,2575,2525,7.01,0,,2790,2840,4.43,0,,1143.23,0.00,630.74,55.2,50% Profit Target,WIN
98,2018-05-14,2018-06-15,2018-05-22,32,2730.47,2724.63,2779.42,12.93,2655,2605,6.79,0,,2840,2890,4.32,0,,1110.76,0.00,752.36,67.7,50% Profit Target,WIN
99,2018-05-21,2018-06-22,2018-05-24,32,2733.04,2727.74,2754.83,13.08,2660,2610,6.43,0,,2840,2890,4.01,0,,1044.10,0.00,558.76,53.5,50% Profit Target,WIN
101,2018-06-04,2018-07-06,2018-06-15,32,2746.87,2779.42,2759.70,12.74,2680,2630,6.46,0,,2845,2895,4.24,0,,1069.58,0.00,696.52,65.1,50% Profit Target,WIN
100,2018-05-24,2018-06-29,2018-06-19,36,2727.74,2762.57,2718.66,12.53,2665,2615,5.97,0,10 DTE Exit,2855,2905,3.53,1,10 DTE Exit,1326.39,-409.21,519.53,39.2,10 DTE Exit (Profitable),WIN
104,2018-06-25,2018-07-27,2018-06-27,32,2717.05,2699.74,2818.92,17.33,2645,2595,6.23,0,,2820,2870,4.09,0,,1031.77,0.00,688.50,66.7,50% Profit Target,WIN
103,2018-06-15,2018-07-20,2018-07-10,35,2779.42,2793.78,2801.92,11.98,2715,2665,6.23,0,PUT:Stop Loss,2880,2930,3.82,0,10 DTE Exit,1004.37,0.00,-1135.33,-113.0,10 DTE Exit (Cut Loss),LOSS
102,2018-06-11,2018-07-13,2018-07-13,32,2782.16,2801.22,2801.22,12.35,2655,2605,4.86,3,Expiration,2880,2930,3.85,0,Expiration,2531.05,-894.98,-23.95,-0.9,Expiration,LOSS
106,2018-07-09,2018-08-10,2018-07-23,32,2784.25,2806.97,2833.22,12.69,2720,2670,5.90,0,,2880,2930,3.76,0,,965.73,0.00,556.32,57.6,50% Profit Target,WIN
105,2018-07-02,2018-08-03,2018-07-24,32,2726.39,2820.25,2840.30,15.60,2675,2625,5.63,0,10 DTE Exit,2805,2855,3.84,0,CALL:Stop Loss,947.00,0.00,-510.75,-53.9,10 DTE Exit (Cut Loss),LOSS
107,2018-07-16,2018-08-17,2018-07-24,32,2798.43,2820.25,2850.11,12.83,2730,2680,6.37,0,,2900,2950,4.04,0,,1041.32,0.00,752.47,72.3,50% Profit Target,WIN
108,2018-07-23,2018-08-24,2018-07-24,32,2806.97,2820.25,2874.77,12.62,2740,2690,6.23,0,,2905,2955,4.11,0,,1033.69,0.00,546.48,52.9,50% Profit Target,WIN
109,2018-07-30,2018-08-31,2018-08-02,32,2802.69,2827.29,2901.19,14.26,2745,2695,6.03,0,,2890,2940,4.02,0,,1004.70,0.00,525.30,52.3,50% Profit Target,WIN
110,2018-08-02,2018-09-07,2018-08-08,36,2827.29,2857.74,2871.80,12.19,2770,2720,5.96,0,,2920,2970,3.73,0,,969.06,0.00,496.23,51.2,50% Profit Target,WIN
112,2018-08-20,2018-09-21,2018-08-24,32,2857.07,2874.77,2929.07,12.49,2800,2750,5.59,0,,2945,2995,3.57,0,,915.72,0.00,484.51,52.9,50% Profit Target,WIN
111,2018-08-13,2018-09-14,2018-09-14,32,2821.96,2905.04,2905.04,14.78,2775,2725,5.23,0,Expiration,2965,3015,2.90,3,Expiration,1860.99,-1103.09,-290.60,-15.6,Expiration,LOSS
114,2018-09-10,2018-10-12,2018-09-14,32,2877.28,2905.04,2766.91,14.16,2830,2780,5.11,0,,2955,3005,3.17,0,,827.79,0.00,533.16,64.4,50% Profit Target,WIN
113,2018-08-24,2018-09-28,2018-09-18,35,2874.77,2904.38,2913.92,11.99,2825,2775,5.50,0,10 DTE Exit,2990,3040,3.32,1,10 DTE Exit,1258.44,-517.02,363.01,28.8,10 DTE Exit (Profitable),WIN
116,2018-09-24,2018-10-26,2018-09-26,32,2919.36,2906.33,2658.39,12.20,2880,2830,5.36,0,,2990,3040,3.27,0,,862.56,0.00,440.04,51.0,50% Profit Target,WIN
115,2018-09-14,2018-10-19,2018-10-08,35,2905.04,2884.70,2767.58,12.07,2870,2820,4.53,0,PUT:Stop Loss,2970,3020,3.00,0,CALL:Stop Loss,753.16,0.00,-1584.98,-210.4,Both legs stopped out,LOSS
117,2018-10-01,2018-11-02,2018-10-23,32,2924.72,2740.66,2722.67,12.00,2890,2840,4.73,0,PUT:Stop Loss,2990,3040,2.82,0,10 DTE Exit,755.70,0.00,-735.05,-97.3,10 DTE Exit (Cut Loss),LOSS
118,2018-10-08,2018-11-09,2018-10-30,32,2884.70,2682.61,2781.13,15.69,2845,2795,5.23,0,PUT:Stop Loss,2955,3005,3.21,0,10 DTE Exit,843.25,0.00,-2092.94,-248.2,10 DTE Exit (Cut Loss),LOSS
119,2018-10-15,2018-11-16,2018-11-06,32,2750.78,2755.47,2736.36,21.30,2640,2590,7.50,0,PUT:Stop Loss,2900,2950,4.88,0,10 DTE Exit,1237.34,0.00,-1389.70,-112.3,10 DTE Exit (Cut Loss),LOSS
122,2018-11-05,2018-12-07,2018-11-12,32,2738.33,2726.32,2633.07,19.96,2565,2515,8.50,0,,2970,3020,5.14,0,,1364.77,0.00,700.72,51.3,50% Profit Target,WIN
120,2018-10-22,2018-11-23,2018-11-13,32,2755.84,2722.08,2632.56,19.64,2630,2580,7.82,0,PUT:Stop Loss,2925,2975,4.97,0,10 DTE Exit,1278.89,0.00,-1297.50,-101.5,10 DTE Exit (Cut Loss),LOSS
121,2018-10-29,2018-11-30,2018-11-20,32,2641.14,2641.71,2759.14,24.70,2490,2440,8.22,0,10 DTE Exit,2845,2895,4.95,0,CALL:Stop Loss,1317.17,0.00,-841.07,-63.9,10 DTE Exit (Cut Loss),LOSS
123,2018-11-12,2018-12-14,2018-11-26,32,2726.32,2673.58,2600.15,20.45,2565,2515,8.16,0,,2940,2990,5.04,0,,1319.97,0.00,684.26,51.8,50% Profit Target,WIN
124,2018-11-19,2018-12-21,2018-11-27,32,2690.80,2682.17,2416.54,20.10,2535,2485,7.95,0,,2895,2945,5.00,0,,1295.06,0.00,708.96,54.7,50% Profit Target,WIN
125,2018-11-26,2018-12-28,2018-12-18,32,2673.58,2546.07,2485.63,18.90,2545,2495,7.79,0,10 DTE Exit,2845,2895,4.95,0,CALL:Stop Loss,1273.57,0.00,-2629.57,-206.5,10 DTE Exit (Cut Loss),LOSS
